Class,LOC,SLOC,NOM (SIZE1),NOP (SIZE2),NPM,WMC,WMC* (AMC),DIT,CBO,RFC,LCOM,MPC,FanOut,FanIn
AppComponent,27,22,1,3,1,1,,0,5,3,2,2,2,0
AuthGuard,30,23,1,0,1,2,,0,6,4,0,3,2,0
JwtInterceptor,25,18,1,0,1,2,,0,6,4,0,3,0,0
AdminMenuTagsService,50,42,5,1,5,5,,0,7,9,1,5,1,2
AdminMenuService,56,39,9,1,9,9,,0,6,13,1,9,1,1
AuthService,68,58,6,3,6,6,,0,8,16,0.5,11,1,3
BlogService,63,50,6,1,6,6,,0,7,11,1,7,1,2
ConfirmService,20,13,2,1,2,2,,0,1,3,1,1,0,8
ContactService,36,27,4,1,4,4,,0,6,8,1,4,1,2
GalleryService,55,36,4,1,4,5,,0,6,9,1,8,1,1
GoogleService,26,20,2,1,2,2,,0,4,4,1,2,1,1
HeroService,47,30,4,1,4,4,,0,4,9,1,10,1,1
MenuService,39,33,3,1,3,3,,0,7,4,1,3,1,1
OpeningHoursService,23,18,2,1,2,2,,0,5,4,1,2,1,1
OurStoryService,35,22,2,1,2,3,,0,3,5,1,7,1,1
ReservationsService,31,24,4,1,4,4,,0,7,8,1,4,1,2
SnackbarService,26,19,4,1,4,4,,0,1,5,1,3,0,10
AdminLayoutComponent,33,25,3,2,3,3,,0,4,5,0.6666666666666666,2,2,0
LoginComponent,58,48,2,4,2,3,,0,3,10,3,8,2,0
ConfirmDialogComponent,38,23,3,3,3,3,,0,1,4,2,1,0,0
SnackbarComponent,26,19,1,3,1,1,,0,2,2,3,1,0,1
BlogManagerComponent,311,202,12,9,11,16,,0,6,50,1.9166666666666667,47,3,0
ContactManagerComponent,76,45,5,2,5,5,,0,5,15,0.6,11,3,0
AdminDashboardComponent,93,77,2,3,2,2,,0,7,15,1.5,16,5,0
GalleryManagerComponent,159,89,6,7,6,8,,0,6,18,2,14,3,0
GoogleRatingManagerComponent,45,26,3,1,3,3,,0,4,10,0.6666666666666666,7,2,0
HeroManagerComponent,103,61,6,4,6,8,,0,5,18,1,14,3,0
MenuManagerComponent,464,361,22,14,16,34,,0,6,77,2,86,3,0
OpeningHoursManagerComponent,111,95,5,6,4,8,,0,3,15,1.6,12,1,0
OurStoryManagerComponent,74,41,4,3,4,5,,0,4,11,1,8,2,0
ReservationsManagerComponent,391,252,16,8,16,25,,0,5,44,1.625,61,3,0
TagsManagerComponent,175,128,9,7,9,13,,0,5,29,2,25,3,0

SUM,2814,1986,159,95,151,201,NaN,0,155,442,40.07500000000001,397,51,37
AVERAGE,87.9375,62.0625,4.96875,2.96875,4.71875,6.28125,NaN,0,4.84375,13.8125,1.2523437500000003,12.40625,1.59375,1.15625
MAX,464,361,22,14,16,34,NaN,0,8,77,3,86,5,10
