Class,LOC,SLOC,NOM (SIZE1),NOP (SIZE2),NPM,WMC,WMC* (AMC),DIT,CBO,RFC,LCOM,MPC,FanOut,FanIn,NOCC,DAC
AppComponent,27,22,1,3,1,1,1,0,5,3,2,2,2,0,0,2
AuthGuard,30,23,1,0,1,2,2,0,6,4,0,3,2,0,0,0
JwtInterceptor,25,18,1,0,1,2,2,0,6,4,0,3,0,0,0,0
AdminMenuTagsService,50,42,5,1,5,5,1,0,7,9,1,5,1,2,0,0
AdminMenuService,70,48,12,1,12,12,1,0,6,16,1,12,1,1,0,0
AuthService,89,73,6,3,6,9,1.5,0,8,21,0.5,18,1,3,0,0
BlogService,63,50,6,1,6,6,1,0,7,11,1,7,1,2,0,0
ConfirmService,20,13,2,1,2,2,1,0,1,3,1,1,0,9,0,1
ContactService,36,27,4,1,4,4,1,0,6,8,1,4,1,2,0,0
GalleryService,55,36,4,1,4,5,1.25,0,6,9,1,8,1,1,0,0
GoogleService,26,20,2,1,2,2,1,0,4,4,1,2,1,1,0,0
HeroService,47,30,4,1,4,4,1,0,4,9,1,10,1,1,0,0
MenuService,39,33,3,1,3,3,1,0,7,4,1,3,1,1,0,0
NewsletterService,20,16,2,1,2,2,1,0,3,4,1,2,1,1,0,0
OpeningHoursService,47,31,5,1,5,5,1,0,4,9,1,5,1,1,0,0
OurStoryService,35,22,2,1,2,3,1.5,0,3,5,1,7,1,1,0,0
ReservationsService,45,35,7,1,7,7,1,0,7,12,1,7,1,2,0,0
SnackbarService,26,19,4,1,4,4,1,0,1,5,1,3,0,11,0,1
TablesService,37,26,4,1,4,4,1,0,3,8,1,4,1,1,0,0
AdminLayoutComponent,33,25,3,2,3,3,1,0,4,5,0.6666666666666666,2,2,0,0,0
LoginComponent,58,48,2,4,2,3,1.5,0,3,10,3,8,2,0,0,0
ConfirmDialogComponent,38,23,3,3,3,3,1,0,1,4,2,1,0,0,0,1
SnackbarComponent,26,19,1,3,1,1,1,0,2,2,3,1,0,1,0,1
BlogManagerComponent,311,202,12,9,11,16,1.3333333333333333,0,6,50,1.9166666666666667,47,3,0,0,2
ContactManagerComponent,76,45,5,2,5,5,1,0,5,15,0.6,11,3,0,0,2
AdminDashboardComponent,93,77,2,3,2,2,1,0,7,15,1.5,16,5,0,0,0
FloorManagerComponent,259,211,20,5,20,32,1.6,0,3,39,1.1,37,1,0,0,3
GalleryManagerComponent,159,89,6,7,6,8,1.3333333333333333,0,6,18,2,14,3,0,0,3
GoogleRatingManagerComponent,45,26,3,1,3,3,1,0,4,10,0.6666666666666666,7,2,0,0,1
HeroManagerComponent,103,61,6,4,6,8,1.3333333333333333,0,5,18,1,14,3,0,0,3
MenuManagerComponent,644,540,34,19,24,57,1.6764705882352942,0,6,107,2.6470588235294117,125,3,0,0,1
NewsletterManagerComponent,201,149,15,9,15,19,1.2666666666666666,0,7,42,1.8,36,4,0,0,2
OpeningHoursManagerComponent,144,124,8,9,7,12,1.5,0,3,25,1.375,21,1,0,0,2
OurStoryManagerComponent,74,41,4,3,4,5,1.25,0,4,11,1,8,2,0,0,2
ReservationsManagerComponent,300,228,21,16,21,33,1.5714285714285714,0,5,57,1.8095238095238095,57,3,0,0,3
TagsManagerComponent,175,128,9,7,9,13,1.4444444444444444,0,5,29,2,25,3,0,0,1

SUM,3526,2620,229,127,217,305,44.05901027077498,0,170,605,45.58158263305322,536,58,41,0,31
AVERAGE,97.94444444444444,72.77777777777777,6.361111111111111,3.5277777777777777,6.027777777777778,8.472222222222221,1.223861396410416,0,4.722222222222222,16.805555555555557,1.2661550731403672,14.88888888888889,1.6111111111111112,1.1388888888888888,0,0.8611111111111112
MAX,644,540,34,19,24,57,2,0,8,107,3,125,5,11,0,3
